"Phase","Index","Label","Description","Category","Level","Symptom","Entry"
"1","2220","tenderness at the sole of the foot underneath the heel","Tenderness at the heel pad","Symptom","1","tenderness at the sole of the foot underneath the heel","Doctor, I am experiencing tenderness and discomfort on the sole of my foot, specifically underneath the heel. It feels sore and sensitive, especially when I put pressure on it or walk."
"1","1031","tenderness in leg","Thigh hurts when touched","Symptom","2","pain from hip to the knee when touched","I noticed that every time my hip gets touched there's a pain that radiates down to my knee."
"3","1154.0","transilluminating scrotum","Light passes through the testicular sac when doing the Positive transillumination test","Symptom","2","positive test for shining light through testicles","""I have been positive test for shining light through testicles."""
"3","515.0","history of lynch syndrome","Lynch syndrome is an inherited condition that makes you more likely to have some types of cancer","Disease / Medical Condition","2","a past record of lynch syndrome","i am suffering from a past record of lynch syndrome since few days."
"1","250","dysmenorrhea","Painful periods","Symptom","2","menstruation hurts","I have menstruation hurts."
"3","5405.0","exercising","Recently did stop-and-go sports that involve frequent transitions from one intensity to another","Risk factor","2","change-of-pace sports","I take part in change-of-pace sports, which involve alternating between different activities and intensity levels. This is a risk factor that I wanted to make sure to mention to you."
"1","164","back pain","","Symptom","2","back discomfort","Sometimes the pain radiates away from the back to other areas of my body, such as the buttocks, legs, or abdomen.I feel very discomfort and I can't work properly."
"3","4521.0","contaminated needle","Using a needle that was possibly contaminated and used","Risk factor","2","used needle","doctor I have pain from stinging"
"3","733.0","history of fibroids","Uterine fibroids are non-cancerous growths that develop in or around the womb","Disease / Medical Condition","3","history of fibroids","""I've had non-cancerous growths in the area surrounding my womb in the past."""
"1","1314","mood swings","Feeling moody","Symptom","2","mood changing","My moods seem to change by the hour. One hour I am happy and content and then next I get very angry or sad or feel hurt."
"1","265","breast swelling","","Symptom","2","boobs swelling","Hi doctor, last three days my boobs swelling and there is pain, please check"
"1","14","abdominal pain","","Symptom","2","abdominal discomfort","I’m experiencing abdominal discomfort. I have pain in my lower abdominal area that won’t go away."
"1","707","nausea","Feel like vomiting","Symptom","2","feel like vomiting","I have been feeling nauseous and feel like I have to vomit a lot."
"1","1339","muscle atrophy","Loss of muscle mass","Symptom","2","muscle weakening","It feels like my muscle is weakening."
"1","1857","weak immune system","","Symptom","2","repeated inflammation of the middle ear","Sometimes i experience some repeated inflammation of my middle ear."
"3","318.0","history of renal transplant","Kidney transplant is the organ transplant of a kidney into a patient with kidney disease","Procedure / Surgery","2","history of renal graft","I want you to be aware that I have a history of renal graft"
"3","3386.0","family history of inflammatory bowel disease","Inflammatory bowel disease is a group of disorders that cause chronic pain and swelling in the intestines","Family History","2","family history of ibd","There is a family history of IBD."
"1","777","pale stool","Poop with light color","Symptom","2","poop with light color","Sometimes I'm just resting on my couch and I get poop with light color"
"3","1722.0","family history of diabetes mellitus","Diabetes Mellitus better known as diabetes, is a disease characterized by high blood sugar levels","Family History","2","father had diabetes mellitus","I have father had diabetes mellitus"
"3","4066.0","high-risk occupation/activity","Work involves high-risk activities such as drilling, hammering, sandblasting, welding, or grinding","Risk factor","2","dangerous occupation/activity","My insurance is going up because my job as a window cleaner is considered a dangerous occupation/activity."
"1","903","halos around lights","","Symptom","2","seeing circles around light","""My seeing circles around lightoften feels very short."""
"3","5146.0","family history of lymphoma","Lymphoma is cancer that starts in cells that are part of the body's immune system","Family History","2","grandpa had lymphoma","I would like you to know that my grandpa had lymphoma. This is an important issue in my medical history that I feel it is important to mention."
"3","5479.0","family history of chronic venous insufficiency","Chronic venous insufficiency is a condition in which veins, typically in the legs, do not function properly, making it difficult for the blood in the legs to cycle back to the heart","Family History","2","chronic venous insufficiency is a familial trait","I have a family history of chronic venous insufficiency, and it is an issue that affects people of all genders."
"3","1946.0","use of tetracyclines","Tetracycline treatment is used to treat infections caused by bacteria including pneumonia and other respiratory infections","Medication","1","use of tetracyclines","i am suffering from use of tetracyclines since few days."
"1","408","dark urine","","Symptom","2","brown urine","Having brown urine since last two days."
"3","3682.0","using talcum powder in the genital area","Genital area indicates the vagina and the area around","Risk factor","2","genital hygiene with talcum powder","I maintain genital hygiene with talcum powder."
"1","487","depigmented hair","Patches of grey or white hair","Symptom","2","hair color gets lighter","Doctor, I've noticed that my hair color is getting lighter, with patches of grey or white hair appearing on my scalp. This change has been gradual, and I'm concerned about its progression. I would appreciate your evaluation to understand the reason behind this symptom and any potential underlying health implications."
"3","4124.0","family history of mole","Moles are small, coloured spots on the skin","Family History","2","mole is a familial trait","i have mole is a familial trait"
"3","3301.0","history of anal surgery","Anal refers to anything involving your anus","Procedure / Surgery","2","experienced anal surgery at some point in life","Doctor, I want to make sure you're aware that I've had a previous anal surgery in my medical history. I believe this information is important for you to consider in evaluating my current health and any potential implications it might have on my current condition."
"1","657","lymphadenopathy","Enlarged or swollen lymph nodes","Symptom","2","bump under skin of armpit","I noticed a bump under the skin of my armpit. It feels swollen and tender to touch. I'm not sure how it happened, but it has been there for a few days now."
"1","1139","urinary hesitancy","Inability to urinate","Symptom","2","urination difficulty","I've been sick a lot after my marathon, and now I'm having urination difficulty, even though I drink a lot of water."
"3","1111.0","trauma to jaw","Recently being hit hard on your jaw","Risk factor","2","mandible trauma","I have had mandible trauma"
"3","3774.0","family history of polymyalgia rheumatica","Polymyalgia rheumatica is a disorder that causes muscle pain and stiffness, especially in the shoulders and hips","Family History","2","polymyalgia rheumatica is a familial trait","Am having a familial trait of polymyalgia rheumatica"
"1","2164","sudden paralysis of arm or leg on one side of the body, that may include the face","Inability to move the arm or leg on one side of the body","Symptom","2","arm is freezed on one side of the body","My left arm is almost frozen and I can't move it."
"3","4810.0","multiple gestation","Currently pregnant with more than one baby","Reproductive/sexual status","2","twin pregnancy","I’m pregnant with twins."
"3","3648.0","family history of pancreatic cancer","Pancreatic cancer occurs when changes in the pancreas cells lead them to multiply out of control","Family History","2","inherited predisposition to family history of pancreatic cancer","I have an inherited predisposition to family history of pancreatic cancer which may increase my risk of developing it."
"3","3799.0","family history of osteoarthritis","Osteoarthritis is the most common form of arthritis mainly affects joints in your hands, knees, hips and spine","Family History","3","family history of osteoarthritis","My doctor said that i had diagnosed with an inherited  degenerative joint disease."
"3","4212.0","having curly hair","Naturally curly hair is present anywhere on your body","Personal characteristics","2","wavy-haired","""I have naturally curly hair present on various parts of my body, and I wanted to make you aware of this personal characteristic."""
"3","1097.0","trauma to jaw","Recently being hit hard on your jaw","Risk factor","1","trauma to jaw","I'm currently being treated for jaw trauma as well."
"1","448","decreased libido","Decreased sexual desire","Symptom","2","impaired sexual desire","I am experiencing impaired sexual desire, where my usual level of interest and arousal in sexual activities has decreased. It's become challenging to feel the same level of desire and passion as before."
"1","2160","sudden paralysis of arm or leg on one side of the body, that may include the face","Inability to move the arm or leg on one side of the body","Symptom","2","inability to move the muscles of the leg in one side of the body","I woke up this morning and I could not move my right leg around. It was like my right leg was asleep and i could not move my muscles."
"1","598","dry skin at neck","","Symptom","3","dry skin at neck","My skin between my head and shoulders is flaky."
"1","483","heavy scrotum","Feeling weight in testicle sac","Symptom","2","testicles feel heavy","I have had a very uncomfortable feeling in my testicles for about a week now. Anytime I stand up, they feel very heavy."
"3","54.0","family history of idiopathic pulmonary fibrosis","Idiopathic pulmonary fibrosis is a serious disease that affects the lungs where they become scarred and difficult to expand","Family History","2","grandma had idiopathic pulmonary fibrosis","My grandma had idiopathic pulmonary fibrosis"
"1","1972","thick skin at neck","","Symptom","2","coarse neck skin","When I scratch my neck, the skin is coarse."
"3","2385.0","coagulopathy","Blood clotting disorder","Disease / Medical Condition","2","clotting factor disorder","I have a blood clotting disorder known as clotting factor disorder. It is an inherited condition that affects both genders."
"1","1241","lower leg swelling","Swelling in lower leg","Symptom","2","bulge at the lower leg","The last month I've been having swelling in my lower leg and theres a bulge."
"1","2176","swelling in thighs","Enlarged thighs","Symptom","2","enlarged thighs","My thighs are enlarged. They feel like they are getting bigger."
"1","2109","steatorrhea","Fat in stool","Symptom","2","oily poop","Sometimes i get  oily poop."
"3","4600.0","recent injury or trauma in thigh","Thighs were recently hit or injured","Risk factor","2","dealing with injury or trauma in thigh recently","I have dealt with an injury or trauma in my thigh recently."
"3","698.0","history of nasal foreign body insertion","Putting something in the nose","Risk factor","2","dealt with nasal foreign body insertion","dealt with nasal foreign body insertion  i am facing since last week"
"3","878.0","abulia","Lack of motivation to do anything, even to think, speak or act","Symptom","2","blunting of response to external stimuli","I've been experiencing blunting of response to external stimuli, which is affecting my motivation."
"3","1961.0","use of tetracyclines","Tetracycline treatment is used to treat infections caused by bacteria including pneumonia and other respiratory infections","Medication","2","use of minocin","I have been using minocin."
"1","721","eyelids forming crusts","Eye gunk","Symptom","2","eyelid scabs","I have scabs on my eyelids."
"3","699.0","history of nasal foreign body insertion","Putting something in the nose","Risk factor","2","a record of nasal foreign body insertion","I have been suffering from nasal foreign body insertion since yesterday."
"3","5259.0","use of fluoroquinolones","Fluoroquinolones are a class of antibiotics approved to treat or prevent certain bacterial infections","Medication","3","use of fluoroquinolones","""I have taken a type of antibiotics in the past that's in the same class as Cipro."""
"3","1332.0","use of penicillin","Penicillins are used to treat infections caused by bacteria","Medication","2","use of dynapen","My treatment includes use of dynapen."
"3","5346.0","family history of cystic fibrosis","Cystic fibrosis is an inherited disorder that causes severe damage to the lungs, digestive system and other organs in the body","Family History","2","inherited predisposition to cystic fibrosis","I have an inherited predisposition to cystic fibrosis, which is a genetic disorder that affects the lungs and digestive system."
"1","775","fingers clubbing","Enlargement of the fingertips and downward sloping of nails","Symptom","2","digital clubbing","I am experiencing digital clubbing. When I look at my hands, I notice enlargement of the fingertips and downward sloping of nails."
"1","2035","skin erythema","Skin rash and redness","Symptom","2","flushed skin","When I go outside I get flushed skin."
"3","5321.0","travel from or to an endemic area of dengue fever","Dengue fever is an illness spread by the bite of mosquitos infected with one of the dengue viruses","Risk factor","2","dengue-like illness","Doctor, I wanted to let you know that I'm concerned about my risk for dengue-like illness. I've recently been traveling to an area where dengue fever is common, and I've also been experiencing some symptoms that could be related to the disease, such as fever, headache, and muscle aches."
"3","3709.0","breathing in dust, smoke or chemicals for a long period of time","Long-term exposure to dust, smoke, or chemicals","Risk factor","2","and chemicals","I was exposed to chemicals."
"3","507.0","hpv infection","The Human Papillomavirus is a common viral infection that spreads through sex","Disease / Medical Condition","2","hpv disease","I have hpv disease. I was diagnosed at another clinic and unsure if this was listed in my medical records."
"1","2230","widened pulse pressure","Difference between systolic blood pressure and diastolic blood pressure is higher than 60 mm hg","Symptom","2","high pulse pressure","I have noticed that the difference between the two numbers when my blood pressure is taken is quite high."
"1","199","bone deformity","","Symptom","3","bone deformity","I've noticed that there's an abnormality in the structure of my bone in a particular area of my body. It's causing some discomfort and limited mobility in that region."
"1","970","ankle joint swelling","Enlarged feet or ankle","Symptom","2","puffy feet","I woke up the other day and my feet were puffy I can barely walk."
"3","3805.0","family history of osteoarthritis","Osteoarthritis is the most common form of arthritis mainly affects joints in your hands, knees, hips and spine","Family History","2","there is a familial link to osteoarthritis","I'd like you to be aware that there is a familial link to osteoarthritis in my family, indicating a genetic predisposition to this condition."
"1","44","angioedema","Swelling of deeper skin layers","Symptom","2","swelling of deeper skin layers","After doing yardwork, I developed an itchy rash, with whelps, and swelling of deeper skin layers on my arms and legs."
"3","3861.0","arrhythmia","Arrhythmia is an irregular heartbeat","Disease / Medical Condition","2","cardiac irregularity","I have been experiencing cardiac irregularity, which is any problem with the rate or rhythm of my heartbeat."
"3","36.0","joint swelling","Ankle joint becoming larger or rounder in size","Symptom","2","ankle joint is rounder in size","I feel some illness because of this fibroids"
"3","4422.0","use of tanning bed","Indoor tanning beds have been used for tanning purposes","Risk factor","2","use of tanning machine","I have used a tanning machine before."
"1","1085","irregular menstruation","Irregular periods","Symptom","2","uneven interval between periods","intervals between my periods are not consistent"
"1","1464","obstipation","Cessation of passage of poop or flatus","Symptom","2","no defecation","I have had no defecation for three days"
"3","1290.0","abdominal tenderness","Feeling pain when pressing above the right hip at the McBurney's point","Symptom","2","pain when pressing above the right hip","I have been having pain when pressing above the right hip."
"1","1478","oliguria","Decreased urine","Symptom","2","reduced urine output","There is severe body pain and I often feel like vomiting. I have also noticed that I pass less amount of urine."
"1","204","depression","","Symptom","2","dysthymia","I have persistent depressive mood. I am feeling sad."
"3","3177.0","wear wet underwear","Frequently wearing wet underwear or underwear often ending up getting wet","Risk factor","2","wearing wet underclothes","I wear underwear and it frequently gets wet."
"1","186","blister or vesicle","Small pockets of fluid beneath the skin","Symptom","3","blister or vesicle","I've noticed these small fluid-filled sacs on my skin, and they're causing discomfort when touched or if any pressure is applied. They appeared suddenly and seem to be increasing in number."
"3","2108.0","nasal polyps","Nasal polyps are soft and painless growths on the lining of your nasal passages or sinuses","Disease / Medical Condition","2","rhinopolyps","I have been experiencing rhinopolyps."
"1","2002","poor growth","","Symptom","2","child below the average height","My child's height is below the average for their age. They seem to be noticeably shorter than other children their age, and this difference in height is something that's concerning me as a parent."
"1","1064","thickened skin in upper extremity","Thick skin on arm, wrist, forearm, or hand","Symptom","2","thick skin at forearm","Doctor, I've noticed that the skin on my forearm has become noticeably thicker than usual. It feels tough and rigid, and I'm unsure of the cause or implications of this change."
"1","1774","ptosis","Droopy eyelids","Symptom","2","lowered eyelid","Sometimes i get some lowered eyelid."
"3","3550.0","use of anti-tuberculosis medication","Tuberculosis is a bacterial infection spread through inhaling tiny droplets from the coughs or sneezes of an infected person","Medication","2","under anti-tuberculosis medication","I'm taking anti-tuberculosis medication."
"1","2089","urinary retention","Sense of incomplete emptying of urine","Symptom","2","incomplete bladder emptying","I feel that I have incomplete bladder emptying"
"1","1195","jugular vein distention","Swollen neck vein","Symptom","2","swollen jugular vein","My neck kinda hurts, do you think it could be a swollen jugular vein?"
"3","1166.0","travel from or to an endemic area of acute bacterial gastroenteritis","Acute bacterial gastroenteritis is a digestive problem caused by bacteria","Risk factor","2","lived in an area where  gastrointestinal infection is common","""I have lived in an area where gastrointestinal infection is common, and I thought it's important for you to be aware of that as a potential risk factor."""
"3","5448.0","overuse of hand","Using your hands for any kind of actions that take a lot of effort","Risk factor","2","using hand a lot","Doctor, I've been experiencing discomfort from using my hand a lot. This has been impacting my daily activities and productivity. I'd like to discuss potential causes and solutions to alleviate this issue."
"1","630","koilonychia","Spoon shaped nails","Symptom","2","flat nails","The nails are flattened and have concavities"
"1","1938","joint stiffness","Stiff movement","Symptom","2","hypertonicity","I thought rigor mortis was setting in, I was experiencing hypertonicity."
"3","2923.0","autoimmune hepatitis","Autoimmune hepatitis is a disease in which the body's immune system attacks its own liver cells","Disease / Medical Condition","2","autoimmune liver disorder","i have been autoimmune liver disorder"
"3","1444.0","arrhythmia","Abnormal electrical impulses suddenly start firing in the atria","Disease / Medical Condition","1","atrial fibrillation","I have an atrial fibrillation."
"1","1377","nails pits or grooves","Small depressions on the nails","Symptom","1","nails pits or grooves","I have noticed small depressions on my nails, like pits or grooves, which is not something I have experienced before. It's concerning, and I would like to understand the cause behind these nail abnormalities and if there are any treatments or remedies for them."
"1","1183","weight loss","","Symptom","2","not gaining weight","My clothes have been getting looser and looser. I have been eating and working out like normal."
"1","617","pruritus","Eyes irritation","Symptom","2","pruritus of the eyes","Doctor, I've been experiencing pruritus of the eyes, which is causing irritation and itching. It started a few days ago and has been persistent, making it uncomfortable to focus or keep my eyes open for long periods."
"1","874","groin pain","","Symptom","3","groin pain","I have pain in the area between my abdomen and thigh. It is worse when I move or exercise."
"1","812","polydipsia","Excessive thirst","Symptom","2","feeling of extreme thirstiness","I am feeling so thirsty even after drinking so much water."
"3","707.0","history of nasal foreign body insertion","Putting something in the nose","Risk factor","2","history of nasal object obstruction","I have a history of nasal object obstruction."
"1","2190","swelling in tongue with inflammation","Tongue inflammation","Symptom","2","protruded tongue","I've been experiencing protruded tongue"
"1","508","hematuria","Blood in urine","Symptom","2","brownish-red pee","Doctor, for the past few days, my pee has been brownish-red. and  I am experiencing is brownish-red pee. Last week, I participated in a charity run and might have pushed myself too hard, leading to muscle injury or breakdown. Could this be related to my current symptom?"
"3","2952.0","family history of secondary dysmenorrhea","Secondary dysmenorrhoea is period pain that is caused by another health condition","Family History","1","family history of secondary dysmenorrhea","I have been told that I have family history of secondary dysmenorrhea."
"3","1845.0","family history of thalassemia","Thalassemia is a blood disorder that causes your body to have less hemoglobin than normal","Family History","2","thalassemia is prevalent in family","i am suffering from ​ thalassemia is prevalent in family since few days."
"3","5822.0","esophageal stricture","Esophageal stricture is an abnormal tightening or narrowing of the esophagus","Disease / Medical Condition","2","esophageal blockage","I have esophageal blockage"
"1","1055","thickened skin in lower extremity","Thick skin on legs or feet","Symptom","2","thick skin at the lower limb","The bottom part of my leg is painful  and the skin is thicker compared to the other leg"
"3","788.0","use of vitamin a","Taking vitamin A supplements","Medication","2","vitamin a consumption","My doctor has advised to begin a vitamin consumption."
"3","4793.0","low humidity environments","Frequent exposure to places with low humidity","Risk factor","2","arid environments","""I have a history of exposure to arid environments."""
"3","6122.0","family history of kidney disease","Having a family history of kidney disease","Family History","3","family history of kidney disease","My relatives have experienced issues with their kidneys in the past."
"3","3045.0","cough","Been coughing frequently for over 2 months","Symptom","2","recurrent cough stubborn cough","I have a consistent, chronic cough."
"3","3495.0","sickle cell anemia","Sickle cell anemia is a group of conditions in which red blood cells are not shaped as they should be","Disease / Medical Condition","2","misshapen red blood cells","I have misshapen red blood cells."
"1","129","breast lump","Breast mass","Symptom","3","breast lump","I was doing my monthly breast exam and I noticed I have a lump in my right breast."
"3","3511.0","joint stiffness","Difficulty moving toes","Symptom","2","hard moving toes","I am having trouble moving my toes."
"3","3662.0","family history of pancreatic cancer","Pancreatic cancer occurs when changes in the pancreas cells lead them to multiply out of control","Family History","2","family history of pancreatic carcinoma","My mother and maternal grandfather had pancreatic carcinoma."
"1","645","ataxia","Feeling unsteady","Symptom","2","feeling of faintness","Over the past month I have experienced feeling faint and lightheaded."
"3","2699.0","use of alpha blockers","Alpha blocker is a type of blood pressure medication","Medication","2","use of doxazosin","I would like to let you know that I am currently taking doxazosin."
"1","1783","pulsation in the nail bed","Reddening and blanching of the nail bed with each heartbeat","Symptom","2","thumping sensation in the nail bed","My nail beds often have a thumping sensation present."
"1","1104","trismus","Difficulty opening the mouth","Symptom","2","limited mouth opening","My jaw feels heavy, and I have a hard time opening my mouth wide like when I yawn or bite on food."
"3","2614.0","polyarteritis nodosa","Polyarteritis nodosa is a disorder characterized by widespread inflammation, weakening, and damage to arteries","Disease / Medical Condition","2","systemic necrotizing vasculitis","I have been diagnosed with systemic necrotizing vasculitis, which is a type of inflammation of the blood vessels."
"3","2563.0","family history of endometrial cancer","Endometrial relates to the lining of the uterus or womb","Family History","2","endometrial cancer is prevalent in family","I want you to know that endometrial cancer is prevalent in my family, and it is a type of cancer that is specific to female gender(s)."
"3","3573.0","history of molar pregnancy","Molar pregnancy is an uncommon type of pregnancy loss where an egg is fertilised but a baby does not develop","Disease / Medical Condition","2","experienced molar pregnancy at some point in life","""My doctor advised me that I may experience a molar pregnancy at some point in my life."""
"3","6114.0","family history of gout","Gout is the inflammation of the joints caused by excess uric acid in the blood","Family History","2","gout has been seen in multiple family members","I have gout that has been seen in multiple family members, so I wanted to make sure you were aware of that risk factor."
"3","2443.0","recent surgery","Orthopedic generally involves the muscles, bones, joints, and adjacent tissues","Procedure / Surgery","2","a past record of orthopedic surgery","I've had orthopedic surgery in the past."
"3","1122.0","history of dental caries","Having tooth cavities","Disease / Medical Condition","2","a past diagnosis of dental caries","I have a past diagnosis of dental caries."
"1","80","anemia","","Symptom","2","low oxygen-carrying capacity","Doctor, I've been experiencing low oxygen-carrying capacity. I've noticed that I become fatigued quickly, even with minimal physical activity, and I'm concerned that my body might not be getting enough oxygen."
"3","3292.0","use of aminoglycoside","Aminoglycoside antibiotics include gentamicin, amikacin, tobramycin, neomycin, and streptomycin","Medication","2","use of streptomycin","I would like you to know that I am currently taking medication called streptomycin, and I wanted to inform you about it regarding my medication usage."
"1","172","barrel chest","Bloated chest","Symptom","2","bulging chest","I always feel a bulging chest every time I drink beer."
"3","3548.0","use of anti-tuberculosis medication","Tuberculosis is a bacterial infection spread through inhaling tiny droplets from the coughs or sneezes of an infected person","Medication","3","use of anti-tuberculosis medication","I am currently taking a medication to prevent the spread of my bacterial infection."
"3","667.0","history of osteogenesis imperfecta","Osteogenesis Imperfecta is a genetic disorder that prevents the body from building strong bones","Disease / Medical Condition","2","history of fragilitas ossium","I Would like to know about if frailitas ossium is treatable"
"3","3967.0","history of pulmonary embolism","Pulmonary embolism is the blockage of an artery in the lungs due to a blood clot, fat or fluid","Family History","2","dealing with pulmonary embolism before","I have had pulmonary embolism in the past, which is a condition that occurs when a blood clot blocks an artery in the lungs."
"1","1743","sleepiness","Prolonged sleeping at night","Symptom","1","prolonged nocturnal sleep time","When I sleep at night, I sleep excessively."
"3","198.0","sexual performance anxiety","Being nervous before or during sex","Symptom","2","sexual apprehension","Previously, my doctor has diagnosed me with sexual apprehension."
"3","2842.0","joint swelling","Enlarged toes","Symptom","2","change in toes size","I have noticed a change in my toes size, with some of my toes being enlarged."
"3","2381.0","coagulopathy","Blood clotting disorder","Disease / Medical Condition","2","blood clotting disorder","I have a blood clotting disorder."
"3","3433.0","blepharitis","Blepharitis is the inflammation of the eyelids","Disease / Medical Condition","2","eyelid redness","I am experiencing eyelid redness."
